Temat,Lokalizacja,Data rozpoczêcia,Czas rozpoczêcia,Data zakoñczenia,Czas zakoñczenia,Przypomnienie w³./wy³.,Data przypomnienia,Czas przypomnienia
Us³ugi sieciowe w systemie UNIX (w) [4],101 65,2017-04-20,08:00,2017-04-20,09:35,Fa³sz,2017-04-20,08:00
Diagnostyka i wiarygodnoœæ SK (w) [6],314 S,2017-04-20,09:50,2017-04-20,11:25,Fa³sz,2017-04-20,09:50
Procesy stochastyczne (w) [7],314 S,2017-04-20,13:30,2017-04-20,15:05,Fa³sz,2017-04-20,13:30
Us³ugi sieciowe w systemie UNIX (w) [5],205 65,2017-04-21,11:40,2017-04-21,13:15,Fa³sz,2017-04-21,11:40
Nowoczesne metody i techniki zarz¹dzania (w) [5],314 S,2017-04-25,08:00,2017-04-25,09:35,Fa³sz,2017-04-25,08:00
Systemy rozproszone (w) [7],201 65,2017-04-25,11:40,2017-04-25,13:15,Fa³sz,2017-04-25,11:40
Ergonomia systemów interaktywnych (w) [6],308 S,2017-04-27,09:50,2017-04-27,11:25,Fa³sz,2017-04-27,09:50
Modelowanie systemów teleinformatycznych (w) [7],223 65,2017-04-27,11:40,2017-04-27,13:15,Fa³sz,2017-04-27,11:40
Diagnostyka i wiarygodnoœæ SK (w) [7],314 S,2017-04-27,13:30,2017-04-27,15:05,Fa³sz,2017-04-27,13:30
Diagnostyka i wiarygodnoœæ SK (w) [8],314 S,2017-05-04,09:50,2017-05-04,11:25,Fa³sz,2017-05-04,09:50
Modelowanie systemów teleinformatycznych (w) [8],309 S,2017-05-04,11:40,2017-05-04,13:15,Fa³sz,2017-05-04,11:40
Trends in Computer Technology (w) [6],101 65,2017-05-05,11:40,2017-05-05,13:15,Fa³sz,2017-05-05,11:40
Nowoczesne metody i techniki zarz¹dzania (æ) [1],125 65,2017-05-09,08:00,2017-05-09,09:35,Fa³sz,2017-05-09,08:00
Procesy stochastyczne (æ) [3],223 65,2017-05-09,09:50,2017-05-09,11:25,Fa³sz,2017-05-09,09:50
Systemy rozproszone (w) [8],309 S,2017-05-09,11:40,2017-05-09,13:15,Fa³sz,2017-05-09,11:40
Trends in Computer Technology (w) [7],101 65,2017-05-11,08:00,2017-05-11,09:35,Fa³sz,2017-05-11,08:00
Trends in Computer Technology (w) [8],101 65,2017-05-11,09:50,2017-05-11,11:25,Fa³sz,2017-05-11,09:50
Procesy stochastyczne (æ) [4],101 65,2017-05-16,08:00,2017-05-16,09:35,Fa³sz,2017-05-16,08:00
Systemy rozproszone (w) [9],309 S,2017-05-16,11:40,2017-05-16,13:15,Fa³sz,2017-05-16,11:40
Procesy stochastyczne (æ) [5],201 65,2017-05-18,08:00,2017-05-18,09:35,Fa³sz,2017-05-18,08:00
Ergonomia systemów interaktywnych (w) [7],308 S,2017-05-18,09:50,2017-05-18,11:25,Fa³sz,2017-05-18,09:50
Trends in Computer Technology (w) [9],101 65,2017-05-19,09:50,2017-05-19,11:25,Fa³sz,2017-05-19,09:50
Trends in Computer Technology (w) [10],101 65,2017-05-19,11:40,2017-05-19,13:15,Fa³sz,2017-05-19,11:40
Metody i techniki symulacji komputerowej (w) [4],314 S,2017-05-22,08:00,2017-05-22,09:35,Fa³sz,2017-05-22,08:00
Procesy stochastyczne (æ) [6],204 65,2017-05-23,09:50,2017-05-23,11:25,Fa³sz,2017-05-23,09:50
Systemy rozproszone (w) [10],309 S,2017-05-23,11:40,2017-05-23,13:15,Fa³sz,2017-05-23,11:40
Trends in Computer Technology (L) [1],106 65,2017-05-26,15:45,2017-05-26,17:20,Fa³sz,2017-05-26,15:45
Trends in Computer Technology (L) [2],106 65,2017-05-26,17:35,2017-05-26,19:10,Fa³sz,2017-05-26,17:35
Nowoczesne metody i techniki zarz¹dzania (w) [6],314 S,2017-05-29,08:00,2017-05-29,09:35,Fa³sz,2017-05-29,08:00
Nowoczesne metody i techniki zarz¹dzania (æ) [2],205 65,2017-05-30,11:40,2017-05-30,13:15,Fa³sz,2017-05-30,11:40
Procesy stochastyczne (æ) [7],203 65,2017-06-06,08:00,2017-06-06,09:35,Fa³sz,2017-06-06,08:00
Trends in Computer Technology (L) [3],101 65,2017-06-08,15:45,2017-06-08,17:20,Fa³sz,2017-06-08,15:45
Trends in Computer Technology (L) [4],101 65,2017-06-08,17:35,2017-06-08,19:10,Fa³sz,2017-06-08,17:35
Trends in Computer Technology (L) [5],101 65,2017-06-08,19:25,2017-06-08,21:00,Fa³sz,2017-06-08,19:25
Nowoczesne metody i techniki zarz¹dzania (w) [7],314 S,2017-06-12,08:00,2017-06-12,09:35,Fa³sz,2017-06-12,08:00
Procesy stochastyczne (w) [8],314 S,2017-06-19,08:00,2017-06-19,09:35,Fa³sz,2017-06-19,08:00
Systemy baz danych (w) [7],313 S,2017-06-20,08:00,2017-06-20,09:35,Fa³sz,2017-06-20,08:00
Nowoczesne metody i techniki zarz¹dzania (æ) [3],101 65,2017-06-20,11:40,2017-06-20,13:15,Fa³sz,2017-06-20,11:40
